2001:3c8:d10a::,2001:3c8:e10d:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3c8:e10e::,2001:3c8:e10e:ffff:ffff:ffff:ffff:ffff,137546,"Faculty of Engineering , Rajamangala University of Technology Thanyaburi"
2001:3c8:e10f::,2001:3c8:ffff:ffff:ffff:ffff:ffff:ffff,4621,Office of Info.Tech. Admin. for Educational Development
2001:3d8::,2001:3d8:ffff:ffff:ffff:ffff:ffff:ffff,9595,NTT-ME Corporation
2001:3e0::,2001:3e0:ffff:ffff:ffff:ffff:ffff:ffff,10013,"FreeBit Co.,Ltd."
2001:400::,2001:400:ffff:ffff:ffff:ffff:ffff:ffff,293,ESnet
2001:410::,2001:410:101:ffff:ffff:ffff:ffff:ffff,6509,CANARIE Inc
2001:410:102::,2001:410:102:ffff:ffff:ffff:ffff:ffff,53904,CANARIE Inc
2001:410:103::,2001:410:7fff:ffff:ffff:ffff:ffff:ffff,6509,CANARIE Inc
2001:410:8000::,2001:410:80ff:ffff:ffff:ffff:ffff:ffff,26677,ORION
2001:410:8100::,2001:410:9fff:ffff:ffff:ffff:ffff:ffff,6509,CANARIE Inc
2001:410:a000::,2001:410:a001:ffff:ffff:ffff:ffff:ffff,8111,Dalhousie University
2001:410:a002::,2001:410:a002:ffff:ffff:ffff:ffff:ffff,399031,Chebucto Community Net Society
2001:410:a003::,2001:410:a005:ffff:ffff:ffff:ffff:ffff,8111,Dalhousie University
2001:410:a006::,2001:410:a006:ffff:ffff:ffff:ffff:ffff,402245,Nova Scotia Collage of Art and Design
2001:410:a007::,2001:410:a013:ffff:ffff:ffff:ffff:ffff,8111,Dalhousie University
2001:410:a014::,2001:410:a014:ffff:ffff:ffff:ffff:ffff,40925,St Mary's University
2001:410:a015::,2001:410:a01b:ffff:ffff:ffff:ffff:ffff,8111,Dalhousie University
2001:410:a01c::,2001:410:a01c:ffff:ffff:ffff:ffff:ffff,40007,St. Francis Xavier University
2001:410:a01d::,2001:410:a0ff:ffff:ffff:ffff:ffff:ffff,8111,Dalhousie University
2001:410:a100::,2001:410:ffff:ffff:ffff:ffff:ffff:ffff,6509,CANARIE Inc
2001:418::,2001:418:0:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:1::,2001:418:1:ffff:ffff:ffff:ffff:ffff,3130,RGnet OU
2001:418:2::,2001:418:c05:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:c06::,2001:418:c06:ffff:ffff:ffff:ffff:ffff,262,"NTT America, Inc."
2001:418:c07::,2001:418:140f:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:1410::,2001:418:1410:ffff:ffff:ffff:ffff:ffff,2000,"Internet Awareness, Inc."
2001:418:1411::,2001:418:1411:ffff:ffff:ffff:ffff:ffff,213802,Tianfeng (Hong Kong) Communications Limited
2001:418:1412::,2001:418:1415:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:1416::,2001:418:1416:ffff:ffff:ffff:ffff:ffff,396350,Boom Communications
2001:418:1417::,2001:418:1438:ffff:ffff:ffff:ffff:ffff,2914,"NTT America, Inc."
2001:418:1439::,2001:418:1439:ffff:ffff:ffff:ffff:ffff,1225,"NTT America, Inc."
